"类别","中文名称","英文名称","Wiki页面","Wiki文件页","原图URL","仓库图片","文件许可","文件页来源","Wiki上传账号","SHA-256","分发状态"
"主武器","R-72 审查者","R-72 Censor","https://helldivers.wiki.gg/wiki/R-72_Censor","https://helldivers.wiki.gg/wiki/File:R-72_Censor_Primary_Render.png","https://helldivers.wiki.gg/images/R-72_Censor_Primary_Render.png?27d671","","UNMARKED","未标明","Undeadender","","metadata-only"
"主武器","SG-20 停止者","SG-20 Halt","https://helldivers.wiki.gg/wiki/SG-20_Halt","https://helldivers.wiki.gg/wiki/File:SG-20_Halt_Primary_Render.png","https://helldivers.wiki.gg/images/SG-20_Halt_Primary_Render.png?baf775","images/primary/sg-20-halt.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","af926bebfdce5c2c74cba12a41e0302e51d5dfb0d1aaed18c5e713b21d4f3c59","included-cc-by-nc-sa-4.0"
"主武器","SG-225 破裂者","SG-225 Breaker","https://helldivers.wiki.gg/wiki/SG-225_Breaker","https://helldivers.wiki.gg/wiki/File:SG-225_Breaker_Primary_Render.png","https://helldivers.wiki.gg/images/SG-225_Breaker_Primary_Render.png?2c7fc4","images/primary/sg-225-breaker.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","edaf048a426eaa6c86d93cae246edc8fd26766762698cbbaa27e4eb626ccb691","included-cc-by-nc-sa-4.0"
"主武器","SG-225IE 燃烧破裂者","SG-225IE Breaker Incendiary","https://helldivers.wiki.gg/wiki/SG-225IE_Breaker_Incendiary","https://helldivers.wiki.gg/wiki/File:SG-225IE_Breaker_Incendiary_Primary_Render.png","https://helldivers.wiki.gg/images/SG-225IE_Breaker_Incendiary_Primary_Render.png?29206c","images/primary/sg-225ie-breaker-incendiary.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","c3057f62cd3acae864df685464ceae10f10efe96e3aea4714b5e13274c1c5fdb","included-cc-by-nc-sa-4.0"
"主武器","SG-225SP 喷洒祈祷","SG-225SP Breaker Spray & Pray","https://helldivers.wiki.gg/wiki/SG-225SP_Breaker_Spray%26Pray","https://helldivers.wiki.gg/wiki/File:SG-225SP_Breaker_Spray%26Pray_Primary_Render.png","https://helldivers.wiki.gg/images/SG-225SP_Breaker_Spray%26Pray_Primary_Render.png?e050a4","images/primary/sg-225sp-breaker-spray-and-pray.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","4546d7209538f96f62f87f3a03de69122a32015cccbc1545fcad0dd1f3c6134d","included-cc-by-nc-sa-4.0"
"主武器","SG-451 烤肉","SG-451 Cookout","https://helldivers.wiki.gg/wiki/SG-451_Cookout","https://helldivers.wiki.gg/wiki/File:SG-451_Cookout_Primary_Render.png","https://helldivers.wiki.gg/images/SG-451_Cookout_Primary_Render.png?a1febd","images/primary/sg-451-cookout.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","c8987dd34c5efb8378abb4f9deb87c165c18d7685e2ecfeda51535c961855e74","included-cc-by-nc-sa-4.0"
"主武器","SG-8 惩罚者","SG-8 Punisher","https://helldivers.wiki.gg/wiki/SG-8_Punisher","https://helldivers.wiki.gg/wiki/File:SG-8_Punisher_Primary_Render.png","https://helldivers.wiki.gg/images/SG-8_Punisher_Primary_Render.png?c43067","images/primary/sg-8-punisher.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","32b33cdd83b06cf0515bf523c43ca14ec1d8a3b9fc49107c46d19164a3ae8190","included-cc-by-nc-sa-4.0"
"主武器","SG-8P 等离子惩罚者","SG-8P Punisher Plasma","https://helldivers.wiki.gg/wiki/SG-8P_Punisher_Plasma","https://helldivers.wiki.gg/wiki/File:SG-8P_Punisher_Plasma_Primary_Render.png","https://helldivers.wiki.gg/images/SG-8P_Punisher_Plasma_Primary_Render.png?1c38be","images/primary/sg-8p-punisher-plasma.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","e49386d8af5cd3a20a98ee2985a90dd92456b6b1f77b98b4e34bc55535fa5b74","included-cc-by-nc-sa-4.0"
"主武器","SG-8S 猛击者","SG-8S Slugger","https://helldivers.wiki.gg/wiki/SG-8S_Slugger","https://helldivers.wiki.gg/wiki/File:SG-8S_Slugger_Primary_Render.png","https://helldivers.wiki.gg/images/SG-8S_Slugger_Primary_Render.png?6296ba","images/primary/sg-8s-slugger.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","d4e2ec99ea9b84bdc7b47320f5f30576569a483a4fd2c85b3dbd3f4806fa4b2a","included-cc-by-nc-sa-4.0"
"主武器","SG-97 清扫者","SG-97 Sweeper","https://helldivers.wiki.gg/wiki/SG-97_Sweeper","https://helldivers.wiki.gg/wiki/File:SG-97_Shotgun_Primary_Render.png","https://helldivers.wiki.gg/images/SG-97_Shotgun_Primary_Render.png?255318","","Arrowhead","未标明","Undeadender","","metadata-only"
"主武器","SMG-203 勇士","SMG-203 Gallant","https://helldivers.wiki.gg/wiki/SMG-203_Gallant","https://helldivers.wiki.gg/wiki/File:SMG-203_Gallant_Primary_Render.png","https://helldivers.wiki.gg/images/SMG-203_Gallant_Primary_Render.png?2fac86","","Arrowhead","User:Undeadender","Undeadender","","metadata-only"
"主武器","SMG-32 训诫","SMG-32 Reprimand","https://helldivers.wiki.gg/wiki/SMG-32_Reprimand","https://helldivers.wiki.gg/wiki/File:SMG-32_Reprimand_Primary_Render.png","https://helldivers.wiki.gg/images/SMG-32_Reprimand_Primary_Render.png?19d16d","images/primary/smg-32-reprimand.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","b6e02699342a6ac40cc4a563205d80f0344a74964876c242179b887414b1547a","included-cc-by-nc-sa-4.0"
"主武器","SMG-37 防卫者","SMG-37 Defender","https://helldivers.wiki.gg/wiki/SMG-37_Defender","https://helldivers.wiki.gg/wiki/File:SMG-37_Defender_Primary_Render.png","https://helldivers.wiki.gg/images/SMG-37_Defender_Primary_Render.png?b3da92","images/primary/smg-37-defender.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","56609121eb3f83f217fb957e6b7f5277f75dd8efb58f02e0aa459a92f865bcb7","included-cc-by-nc-sa-4.0"
"主武器","SMG-72 猛击者","SMG-72 Pummeler","https://helldivers.wiki.gg/wiki/SMG-72_Pummeler","https://helldivers.wiki.gg/wiki/File:SMG-72_Pummeler_Primary_Render.png","https://helldivers.wiki.gg/images/SMG-72_Pummeler_Primary_Render.png?2acd0e","images/primary/smg-72-pummeler.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","bfa698fe3808b510d17edef3a3ac7bb381d9f245d24540c032095e0001b6bd78","included-cc-by-nc-sa-4.0"
"主武器","StA-11 冲锋枪","StA-11 SMG","https://helldivers.wiki.gg/wiki/StA-11_SMG","https://helldivers.wiki.gg/wiki/File:StA-11_SMG_Primary_Render.png","https://helldivers.wiki.gg/images/StA-11_SMG_Primary_Render.png?bd19ee","images/primary/sta-11-smg.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","54c773f35dd2d4fa6a72326771c2cfd805e2d52696fcf0bc23953584139d4801","included-cc-by-nc-sa-4.0"
"主武器","StA-52 突击步枪","StA-52 Assault Rifle","https://helldivers.wiki.gg/wiki/StA-52_Assault_Rifle","https://helldivers.wiki.gg/wiki/File:StA-52_Assault_Rifle_Primary_Render.png","https://helldivers.wiki.gg/images/StA-52_Assault_Rifle_Primary_Render.png?94bd97","images/primary/sta-52-assault-rifle.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","baec3b3b46c4603dcbd0c9651cb98e8d43d76830c1aed5866aaeca7d9afbfbc6","included-cc-by-nc-sa-4.0"
"主武器","VG-70 可变式","VG-70 Variable","https://helldivers.wiki.gg/wiki/VG-70_Variable","https://helldivers.wiki.gg/wiki/File:VG-70_Variable_Primary_Render.png","https://helldivers.wiki.gg/images/VG-70_Variable_Primary_Render.png?8e909c","images/primary/vg-70-variable.png","CC BY-NC-SA 4.0","User:Undeadender","Undeadender","e4797d4c88b2d08d5ba2998c0d470d564f12f22042bbeeb008d1603d55d97c1c","included-cc-by-nc-sa-4.0"
"副武器","CQC-19 电击长枪","CQC-19 Stun Lance","https://helldivers.wiki.gg/wiki/CQC-19_Stun_Lance","https://helldivers.wiki.gg/wiki/File:CQC-19_Stun_Lance_Secondary_Render.png","https://helldivers.wiki.gg/images/CQC-19_Stun_Lance_Secondary_Render.png?9a9709","images/secondary/cqc-19-stun-lance.png","CC BY-NC-SA 4.0","未标明","Undeadender","d7dd983c1852f2d2ed5d9abd8f5d1dd98728a04e1eb888db36d72f7601981a1b","included-cc-by-nc-sa-4.0"
"副武器","CQC-2 军刀","CQC-2 Saber","https://helldivers.wiki.gg/wiki/CQC-2_Saber","https://helldivers.wiki.gg/wiki/File:CQC-2_Saber_Secondary_Render.png","https://helldivers.wiki.gg/images/CQC-2_Saber_Secondary_Render.png?459c5b","images/secondary/cqc-2-saber.png","CC BY-NC-SA 4.0","未标明","Undeadender","47b66c1bf197f6b540bfbc67b1d9c4ef5c2acea4322cd9fabe291fafba8cc11b","included-cc-by-nc-sa-4.0"
"副武器","CQC-30 电击棍","CQC-30 Stun Baton","https://helldivers.wiki.gg/wiki/CQC-30_Stun_Baton","https://helldivers.wiki.gg/wiki/File:CQC-30_Stun_Baton_Secondary_Render.png","https://helldivers.wiki.gg/images/CQC-30_Stun_Baton_Secondary_Render.png?5b701f","images/secondary/cqc-30-stun-baton.png","CC BY-NC-SA 4.0","未标明","Undeadender","2185be30efdbd02661b613958f39dc06a0dc81b493d3f74119cd2efefeb99cf8","included-cc-by-nc-sa-4.0"
"副武器","CQC-42 砍刀","CQC-42 Machete","https://helldivers.wiki.gg/wiki/CQC-42_Machete","https://helldivers.wiki.gg/wiki/File:CQC-42_Machete_Secondary_Render.png","https://helldivers.wiki.gg/images/CQC-42_Machete_Secondary_Render.png?25973a","","UNMARKED","未标明","Undeadender","","metadata-only"
